department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,Author,Title,Published,Description,Series,Language,Summary,Note,File Type,Local note,Access,System Det,Subject,Alt Title
Gender studies,MA,https://tinyurl.com/genderma2018,2018,29,https://sierra.ceu.edu/record=b1400344,http://www.etd.ceu.edu/2018/vukosavljevic_jovana.pdf ,"Vukosavljevic, Jovana",Whose sex? : public opinion on sexual education initiative in Serbia / Jovana Vukosavljevic,"Budapest : Central European University, 2018",87 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2018/23,English,"The sex education initiative was introduced in 2013 by the Serbian Provincial Secretariat for Sports and Youth as an elective course in Serbian high schools. This type of project has not yet been recorded in Serbian education, therefore it received an enormous amount of attention. In this thesis, I look at the discourses of sex education in contemporary Serbia, through a content analysis of media texts, political statements and social media, as well as by analyzing interviews conducted with parents in the capital of Serbia, Belgrade during April 2015. In my thesis I argue that the narratives around sexual education reflect the nationalist ideas, as well the ongoing debate on “Europeanization” in Serbia. By presenting the role of women's body in the nationalist rhetoric, I examine the topics on women, reproduction and nation through the analysis of perceptions of sex education in Serbia. Later on I present how the narratives of sex education reflect the idea of East/West, tradition/modernity in Serbia. My case study contributes to existing scholarship on gender and nationalism in Serbian context, adding sex education as an angle for the analysis.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Political science,MA,https://tinyurl.com/polma2018,2018,43,https://sierra.ceu.edu/record=b1399922,http://www.etd.ceu.edu/2018/simsek_caner.pdf ,"Simsek, Caner",Populism as distant relative of terrorism / Caner Simsek,"Budapest : Central European University, 2018",57 p. ; 30 cm.,CEU Political Science Department master theses ; 2018/34,English,"What is the lowest common denominator of populist voters? What unites the voter bases of populist parties? Considering populism primarily as a strategy and drawing on the grievance model of political action that is prevalent in the terrorism literature, this thesis investigates the reasons for the populist upsurge. Similarities identified between terrorism and populism contribute to a better understanding of both phenomena. By analyzing the European Social Survey Round 8 data with logistic regression, it demonstrates that perceived lack of opportunities for political participation is a strong predictor of populist voting. It further demonstrates that individuals with cultural and economic grievances are more likely to vote for right-wing and left-wing populist parties respectively.",,PDF file (634k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Legal studies,MA,https://tinyurl.com/legalma2018,2018,60,https://sierra.ceu.edu/record=b1399530,http://www.etd.ceu.edu/2018/simic_nemanja.pdf ,"Simic, Nemanja",Following the US approach on private equity structures in Serbia / Nemanja Simic,"Budapest : Central European University, 2018",71 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2018/28,English,"Private equity is a concept that encompasses many related disciplines, like business, economy, financing, management, etc. This thesis aims to provide a clear overview of one of its layers â€“ the legal one. Out of several branches of law affected by this concept, the research will focus primarily on structuring, i.e. on the choices of corporate vehicles for business operations and legal consequences that such choices brings with them. In addition, special attention will be paid to tax considerations of such options as they by default heavily affect both the choice of business vehicles and operations of private equity industry in general. The primary reason for making such analysis lies in the fact that up to date scholarly works on legal aspects of private equity in Serbia are essentially descriptive. They do not give the answer as to why private equity industry in the country has not made a substantial progress for more than a decade after its regulation. Nor do they establish a comparative model upon which the industry can look upon. In this research, it is suggested that the US system may serve as such model. For these purposes, it explores the characteristics of the US system and the options it offers. The thesis will conclude that having a choice between several business vehicles and tax treatments is beneficial for the development of private equity industry in a country. Notably, the system needs to provide the possibility for private equity funds and firms to operate as flexible entities that are also fiscally transparent. This conclusion outlines the need for the developing countries to constantly reexamine their approach when it comes to the legal treatment of private equity. Overall, the research shows that civil law systems have many lessons to adopt from the American experience with the regulation of private equity industry. Out of it also comes the recommendation for future scholarly works on alternative models for the development of the industry in Serbia.",Degree: MA,PDF file (785k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Environmental sciences,MSc,https://tinyurl.com/envma2019,2019,16,https://sierra.ceu.edu/record=b1422715,http://www.etd.ceu.edu/2019/voski_anais.pdf ,"Voski, Anaïs",The ecological significance of the overview effect : environmental attitudes and behaviours in astronauts / Anais Lynn Voski,"Budapest : Central European University, 2019",112 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy master theses ; 2019/15,English,"In the context of the 21st century’s intensifying ecological crisis and the New Space Age, this year’s 50th anniversary of the Apollo 11 Moon landing provides a functional framework for investigating potentially unknown connections between environmentalism and human space exploration. Limited evidence in the existing literature suggests that the Overview Effect – the cognitive shift in awareness experienced by astronauts as a result of seeing Earth from outer space – may contain much greater ecological dimensions than has been previously implied. Based on 14 first-hand interviews with astronauts, this study utilizes interpretive phenomenological analysis to qualitatively demonstrate that the Overview Effect has a distinct ecological significance that results in positive changes to astronauts’ environmental attitudes and behaviours. Besides this change, the results qualitatively map the breadth and depth of astronauts’ present environmental attitudes and behaviours, which has also not been done prior to this study. The outer space perspective of Earth, which includes negative perceptual views of anthropogenic ecological destruction on the surface of the planet, is shown to add a new and additional element to environmentalism, and as such discourse analysis is used to demonstrate how the ecological impulse concept is useful for advancing theoretical formulations of how spaceflight affects environmental attitudes. Furthermore, an expanded definition of the astroenvironmentalism concept is proposed to encapsulate this distinct form of environmentalism, to facilitate more straightforward discussions on the topic, and to make this phenomenon and form of environmentalism more relevant and accessible to a wider audience.",Degree: MSc,PDF file (1581k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Environmental sciences,MSc,https://tinyurl.com/envma2018,2018,22,https://sierra.ceu.edu/record=b1401939,http://www.etd.ceu.edu/2018/jawaid_eqra.pdf ,"Jawaid, Eqra","The growth of solar off-grid energy technology : a case study of Dharnai solar village in Bihar, India / Eqra Jawaid","Budapest : Central European University, 2018",67 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy master theses ; 2018/12,English,"Despite the efforts of rural electrification from both central and state governments, Bihar is the least electrified state in the country. It is found in the literature that decentralized solutions such as renewable off-grid systems can be a viable and more efficient option for rural electrification. Recently, a smart solar off-grid system has been developed in Dharnai village in Bihar with the assistance of Greenpeace India. The aim of the thesis was to investigate and identify drivers and barriers to the growth of the solar off-grid system in Dharnai, fill the knowledge gap about the solar off-grid sector, and provide recommendations to improve the sector in the state. Data collected from interviews and focus group discussion in Dharnai was analyzed using Painuly’s (2001) framework. The findings suggested that significant drivers are unmet demands of consumers, policy ambitions, consumer’s capacity and willingness to pay, benefits of solar perceived by consumers, an indicator of development, and uncertainty about the grid connection. Furthermore, significant barriers to the growth of solar off-grid systems are policy loopholes, unmet demands of consumers, consumer’s affordability, and lack of financing options. The thesis recommends that the Bihar government should start awareness campaigns to improve consumer’s lack of awareness about the benefits of solar off-grid systems; make grid expansion predictable so that consumers have clarity about its timeline; take appropriate measures to improve financing and overall affordability of the consumers.",Degree: MSc,PDF file (1571k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
School of public policy,MA,https://tinyurl.com/sppma2020,2020,24,https://sierra.ceu.edu/record=b1428435,http://www.etd.ceu.edu/2020/bouhout_nouhaila.pdf ,"Bouhout, Nouhaila",The failure of global drug control policy : Morocco's cannabis resin market as a case study / Nouhaila Bouhout,"Budapest : Central European University, 2020",52 p. ; 30 cm.,CEU School of Public Policy master theses ; 2020/7,English,"For over a century, the international drug control regime has failed to effectively reduce the harms associated with drugs. This is despite prohibition and eradication-based methods of addressing illegal crop cultivation. This thesis analyses these failures by focusing on a specific case study: Morocco’s cannabis resin market. Regardless of drug policies and international treaty obligations to eradicate cannabis cultivation and production, the Rif—Morocco’s most disadvantaged region—remains the largest producer and supplier of cannabis resin, globally. In order to understand these controversial outcomes, this thesis conducts a drug control policy impact assessment. It identifies and examines unintended drug policy impacts on the Rif’s economic, environmental, and social development. This thesis perceives and measures drug policy from a broader social context as the key drivers of drug markets stem from the demand-side of the drug trade, an approach global drug policy metrics fail to consider as they are focused on law and order. Therefore, in order for drug policy to effectively confront the world drug problem, it should recognize that the production of drugs occurs primarily within the fragile realities of rural, patriarchal, and impoverished regions.",Degree: MA,PDF file (772k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Gender studies,MA,https://tinyurl.com/genderma2020,2020,26,https://sierra.ceu.edu/record=b1428477,http://www.etd.ceu.edu/2020/gogberashvili_ani.pdf ,"Gogberashvili, Ani","Gendered experience of time in Georgia : motherhood, care work and the life beyond / Ani Gogberashvili","Budapest : Central European University, 2020",54 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2020/12,English,"First, associated with the cycles of nature, later with the emergence of capitalism, the perception of time became associated with the linearity of the production process and became commodified. Time as a resource, reflecting the power relations, is distributed unequally within the groups of people, with some spending most of the time working to ensure survival, while others are enjoying vast amounts of discretionary time. In contemporary society, the lack of time is especially acute in the lives of working mothers. The persistent essentialist understanding of motherhood still requires women to devote most of their time beyond paid employment to caregiving, and the standard working hours not taking the time needed for care responsibilities into account. This thesis explores the time poverty experienced by working mothers in Georgia who, due to unregulated working hours and the demands of motherhood, enjoy little to no temporal autonomy. The aim of the research is to analyze the perceptions of time for them and study the ways in which they distribute their time between paid labor, unpaid labor, and leisure and the reasoning behind this arrangement. I argue that the perception of time for working mothers in Georgia, shaped by the essentialist understanding of motherhood, is malleable and adaptable to immediate circumstances, different from the rigidity of capitalist temporality. The data collected through in-depth semi-structured interviews suggest that women perceive time poverty as their individual problem instead of questioning structural inequality leading to this condition; respondents assume that they have more control over their time than they actually do. Over the years, they have adopted different time management and time-saving strategies in order to utilize their time beyond paid employment and meet the contradictory standards of a good employee and a good mother. For this, they often have to juggle several tasks at a time, seek paid or unpaid help from other females, sacrifice their professional growth and leisure time, and put extensive effort into scheduling every minute of their days.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Nationalism,MA,https://tinyurl.com/natsma2020,2020,25,https://sierra.ceu.edu/record=b1429748,http://www.etd.ceu.edu/2020/sadusky_elizabeth.pdf ,"Sadusky, Elizabeth Marie","What do you mean Christian democracy? : an analysis of conflicting claim making of the Fidesz, Christian Democratic Union, and Austrian Peoples Party on Christian Democratic Ideology  / Elizabeth Marie Sadusky","Budapest : Central European University, 2020",141 p. ; 30 cm.,CEU Nationalism Studies master theses ; 2020/17,English,"The 2015 refugee reception crisis had profound impacts on the European Union. This thesis is an investigation of its effects on the growing rifts within the Christian Democratic party family. Specifically, it analyzes how three governing Christian Democratic parties responded to the crisis, what their response says about their claim making on the Christian Democratic ideology, and their interactions with one another. The response and claims being made by these parties will be historically, institutionally, and politically contextualized. In order to do so I will utilize the discourse historical approach of critical discourse analysis and process tracing. In light of this analysis, I argue that the Hungarian Fidesz party, with Orbán at its helm, has engaged in the social creativity strategy of identity management and created a new claim on Christian Democracy. This claim combines nationalism, populism, and civilizationism, wherein the “Christian” component of Christian Democracy is central. The German Christian Democratic Union, headed by Angela Merkel has made no such grand ideological claims but rather has been characterized by caution, pragmatism and centrism. Even while refusing to backdown rhetorically from a defense of the rights of asylum seekers and the responsibility of Germany, and the EU more broadly, to help, their policy making reflected collaboration, cooperation, and concession on these principles. The Austrian People’s Party engages in both approaches, fluctuating between the two without overindulging in either. The approach this paper takes, and the examples put forth by these parties can be utilized to investigate trends in other Christian Democratic parties, or even other party families, in the wake of major events. The information obtained from the analysis of the claim making of these parties sets the stage for the future of the Christian Democratic party family and ideology.",Degree: MA,PDF file (1181k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Nationalism,MA,https://tinyurl.com/natma2019,2019,18,https://sierra.ceu.edu/record=b1421289,http://www.etd.ceu.edu/2019/mysiv_iryna.pdf ,"Mysiv, Iryna",Biopolitical tendencies in the interwar Eastern Galicia : role of the ethnic minorities / Iryna Mysiv,"Budapest : Central European University, 2019",70 p. ; 30 cm.,CEU Nationalism Studies master theses ; 2019/12,English,"The thesis focuses on biopolitical tendencies in the interwar Eastern Galicia. They are considered through the prism of the eugenics movement, as well as its connection with state policy. Since this territory belonged to the Second Polish Republic during this period, the eugenics was looked atï¿½in the context of the Polish policy itself. In addition, the issue of minorities is raised, as well as their role in the construction of a new strong state.",Degree: MA,PDF file (2932k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Economics,MA,https://tinyurl.com/ecoma2018,2018,52,https://sierra.ceu.edu/record=b1399992,http://www.etd.ceu.edu/2018/pitia_modi.pdf ,"Pitia, Modi Denis Elikana",Could lack Of Central Bank independency result into hyperinflation case study : South Sudan  / Modi Denis Elikana Pitia,"Budapest : Central European University, 2018",70 p. ; 30 cm.,CEU Economics Department master theses ; 2018/33,English,"South Sudan is one of the newest country in the globe and Africaâ€™s 55th nation that got its independence on 9, July 2011 after a long civil war that lasted for more than twenty-five years. After gaining independence South Sudan economy has been faced with a number of challenges as the government tries to implement its development objectives. On 11 November 2013, the Central Bank of South Sudan made changes to its official exchange rate which was initially pegged to United States dollar by devaluing its currency by 42% and further by 84% in 2015. This act resulted into general increase in the prices of goods and services since the country is import dependent to a large extent. This research paper will try to understand whether the currency devaluation could be a lead cause towards the increased inflation and even hyperinflation in the country. Secondly, the research will also try to investigate the extent to which Central Bank is independent and how the lack of independence helped the emergence of hyperinflation in South Sudan. The research will also try to analyze the inflationary historical aspects of the East African region based on the precolonial and postcolonial times so as to examine other factors that might have caused inflation in the region while addressing the economic growth challenges. The research will also take into consideration a theoretical overview of Sudan and South Sudan economy before and after independence since these two countries were once one. The research paper will finally draw conclusion from different views while trying to investigate the impact of Central Bank independence and currency devaluation in relation to causes of hyperinflation in South Sudan. Suggested policy recommendation will be provided for policy makers.",Degree: MA,PDF file (1814k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
School of public policy,MA,https://tinyurl.com/sppma2019,2019,30,https://sierra.ceu.edu/record=b1415548,http://www.etd.ceu.edu/2019/goodrich_ian.pdf ,"Goodrich, Ian Edward",Mapping the laundromat : a network analysis of money laundering in the United Kingdom / Ian Edward Goodrich,"Budapest : Central European University, 2019",79 p. ; 30 cm.,CEU School of Public Policy master theses ; 2019/2,English,"Money laundering enables crime, saps public resources, and undermines the state in rich and poor countries alike. Investigations into money laundering, once traditionally the domain of government, financial institutions and international bodies, are increasingly being undertaken by journalists, NGOs and academics. Using the case study of the United Kingdom, this study explores the use of network analysis for the study money laundering using open data. Using a custom-built Python module, this study analyses money laundering risk in over 2,000 corporate networks and 130,000 companies from the UK Companies House registry. At the company level, it finds that high risk companies may be younger and more likely to use the Limited Liability Partnership structure. At a network level, it provides tentative evidence that companies used for money laundering may cluster with other such companies, and that network size and triangular graph structures may have potential for use in risk prediction using open data.",Degree: MA,PDF file (3342k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
IR,MA,https://tinyurl.com/iresma2019,2019,40,https://sierra.ceu.edu/record=b1421595,http://www.etd.ceu.edu/2019/ramein_obura.pdf ,"Ramein, Obura Ronald",Change in the ruling political party in the United States of America and its effect on the flow of foreign direct investment into the East African Federation recipient countries from 1981-2017 / Obura Ronald Ramein,"Budapest : Central European University, 2019",26 p. ; 30 cm.,CEU International Relations Department master theses ; 2019/27,English,The thesis is about the relationship between the change in the ruling political party in the US and how it affects the flow of foreign direct investment to five East African Federation states. It performs numerous simple linear regressions to check the connection.,Degree: MA,PDF file (1102k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Sociology,MSc,https://tinyurl.com/socma2018,2018,22,https://sierra.ceu.edu/record=b1399180,http://www.etd.ceu.edu/2018/barmina_alexandra.pdf ,"Barmina, Alexandra",Labor under authoritarian neoliberal regime : work experiences of independent journalists in Russia / Alexandra Barmina,"Budapest : Central European University, 2018",63 p. ; 30 cm.,CEU Sociology Department master theses ; 2018/11,English,"This study analyzes labor experiences and subjectivities of independent journalists in Russia as conditioned by the specific mode of authoritarian neoliberal regime. While current labor studies focus mostly on the impact of neoliberalization on labor, this thesis demonstrates that experiences of workers, engaged in cultural production in authoritarian states, are conditioned by the state’s endeavor at reproduction of symbolic order and marginalization of those in conflict with the hegemonic state project as well. For this reason, labor of journalists under authoritarian neoliberal regime is characterized as “politically” and “economically” precarious, and these two dimensions of precarity are closely intertwined. Journalists simultaneously face lack of stable contracts, employment insecurity, menace of media outlets being shut-down and even life threat. This research discusses how independent journalists in Russia experience and articulate these insecurities, related to specific economic and political contexts in which their labor is placed. The thesis demonstrates that political dimension of precarity, engendered by the authoritarian regime, is treated by journalists as the most problematic, whereas economic insecurities, albeit solidly present, tend to be ignored. Among the reasons for non- acknowledgement of the economic dimension of precarity are specific understanding of labor journalists share, their liberal ideologies, strong affective bindings to a job, widespread among cultural workers, and privileged class positions. Perception of political insecurities as the dominant threat also contributes to disregard of poor formal labor conditions.",Degree: MA,PDF file (547k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
School of public policy,MA,https://tinyurl.com/sppma2018,2018,41,https://sierra.ceu.edu/record=b1401713,http://www.etd.ceu.edu/2018/adhikari_anshu.pdf ,"Adhikari, Anshu",Nepalese low-skilled migrants in Portugal : skill perception and skill gaining strategies / Anshu Adhikari,"Budapest : Central European University, 2018",57 p. ; 30 cm.,CEU School of Public Policy master theses ; 2018/4,English,"The aim of the research is to understand skill development avenues adapted by low- skilled Nepalese migrants in Portugal. With a sudden and huge inflow of low-skilled immigrants in the EU since the European migration crisis, it is necessary to understand how Portugal has adopted policies on skill development to build low-skilled immigrants' competencies in the European job market. With the changes in policies of immigration and skill development, it has also become important to analyze migrants' perception of skills and their strategies of adapting further skills to be employed on high-skill jobs. The purpose of the dissertation is about investigating the integration of migrants into EU labor markets. It also explores labor migration from South Asia to continental Europe in order to find gapes in European labor migration policies, and strategies used by low- skilled labors coming from South Asia. Particular emphasis is given to the case of Nepalese low-skilled migrants in exploring migrants' understanding of their skills, their strategy in attaining available skill gaining opportunity and their decision on transnational mobility after their stay in Portugal. The dissertation is structured to show the research aim, objective and methodology. The dissertation introduces Portugal and the extent of low-skilled migrants working in the Portuguese labor market. Following the literature of skill measurement and skill mismatch, the paper highlights the limited proxies used for skill measurement. With in-depth interviews with low-skilled Nepalese migrants, the research shows how migrants perceive their skills in the foreign land irrespective of their educational attainments. Finally, the analysis derived from the interviews questions the existing integration programmes and its effectiveness.",Degree: MA,PDF file (2223k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
IR,MA,https://tinyurl.com/iresma2019,2019,40,https://sierra.ceu.edu/record=b1421584,http://www.etd.ceu.edu/2019/guner_busra.pdf ,"G端ner, B端sra",The representation of refugees and migrants in the European mainstream media : the case of the United Kingdom and Germany / B端sra G端ner,"Budapest : Central European University, 2019",72 p. ; 30 cm.,CEU International Relations Department master theses ; 2019/16,English,"The surge of right-wing exclusionary populism and the failure of the Western states to respond to the so-called refugee crisis have been a fruitful discussion for students at the nexus of mobility, religion, and identity. Still, the recent into the representations of the refugees and migrants is rather limited to the analysis of anti-immigration discourse as well as single country or exploratory studies. This thesis scrutinizes the most commonly used frames about the refugees and migrants in the mainstream print media and offers a reading of the representations utilizing theories of Biopolitics, Necropolitics, and Orientalism. This research hypothesizes that not only these frames dehumanize, deindividualize, and decontextualize people, but also the reproduced knowledge about the others of Europe inform articulation of messages across the political spectrum. In this end, two hundred seventy articles from the most circulated quality and tabloid newspapers across the political spectrum in the UK and Germany are qualitatively analyzed. Findings affirm the hypotheses that the underlying notions about non-Western individuals inform both anti-immigration and pro-immigration accounts. Liberal discourse is not only informed by the same Orientalist notions about the other, but also enforces a bio-political archetype for a deserving refugee and leave non-conforming individuals with agency in the necropolitical deathscape to die. Moreover, in addition to the extensively researched implication of the former, these findings point to a dilemma for the latter which reemphasize mechanism that allow marginalization, dehumanization, and deindividualization of the refugees and migrants for the sake of short-term action.",Degree: MA,PDF file (791k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Philosophy,MA,https://tinyurl.com/philma2019,2019,10,https://sierra.ceu.edu/record=b1421318,http://www.etd.ceu.edu/2019/lazurca_vladimir.pdf ,"Lazurca, Vladimir",Translating the incommensurable / Vladimir Lazurca,"Budapest : Central European University, 2019",64 p. ; 30 cm.,CEU Philosophy Department master theses ; 2019/7,English,"The topic of this thesis is the problem of semantic incommensurability between languages. My aim is to provide an argument that plausibly disassociates the incommensurability of languages from their untranslatability. I consider the idea of these notions being connected to be a misapprehension to which much of the contemporary debate falls prey. Towards the stated purpose, I argue for the inclusion of Friedrich Schleiermacher in this modern debate and subsequently construct an argument meant to drive a wedge between incommensurability and untranslatability. I do so in the following way: (1) I argue for the translatability of incommensurable languages and (2) I argue that translatability does not entail commensurability. Finally, I argue that Schleiermacher is ultimately inconsistent but that the argument I have constructed based on his account of translation does not fall along with him.",Degree: MA,PDF file (839k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Gender studies,MA,https://tinyurl.com/genderma2018,2018,29,https://sierra.ceu.edu/record=b1400149,http://www.etd.ceu.edu/2018/anderson_mackenzie.pdf ,"Anderson, Mackenzie Clarke","Postwar opportunities : gender, nationalism, and the recognition of wartime sexual violence in Kosovo / Mackenzie Clarke Anderson","Budapest : Central European University, 2018",100 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2018/1,English,"The gendered nature of postwar Kosovo is evident in the prioritization of militarized, protector war heroes and simultaneous marginalization of women / femininities as well as subordinate masculinities. By utilizing theories of nationalism, gender, and the state, this thesis seeks to examine the complexities of the postwar reality for survivors of wartime sexual violence in Kosovo and the impacts of gendered nationalism on state-level policy and recognition for survivors. Two dominant narratives have been established: that of the European aspirational ideal and of the Albanian ethno-national invocation of masculine war heroes and freedom fighters. Sexual violence – and victimhood in general – did not fit into these state narratives, further impacting policy priorities. In parallel with dominant state narratives, the taken for granted androcentrism of the state apparatus continues to impact recognition of survivors of wartime sexual violence. I analyze the 2014 Amendment to the Law on Civilian Victims of War in light of the current application process for state-level benefits for survivors, and argue that the Amendment does well to support some survivors, while still maintaining state narratives of singular, ethnic priorities. Thus, since my research is situated in a particular time when survivors are finally able to access state recognition and benefits, the further implications of masculinized state priorities for women are yet to be determined, but a gender-sensitive lens towards state-level support is imperative for survivors.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Nationalism,MA,https://tinyurl.com/natma2019,2019,18,https://sierra.ceu.edu/record=b1421300,http://www.etd.ceu.edu/2019/szegofi_akos.pdf ,"Szegőfi, Ákos","From Jack the Ripper to Jamal the Rapist : disinformation, blood libel and the imagery of the immigrant criminal / Ákos Szegőfi","Budapest : Central European University, 2019",86 p. ; 30 cm.,CEU Nationalism Studies master theses ; 2019/16,English,"This thesis sets out to conceptualize the current moment of disinformation (called post-truth era by some researchers) arguing that there were several similar moments in Western history. The specific moment the thesis choose for comparison was the late 19th century, when – according to the assumptions of the thesis – the emerging mass media might have posed a similar challenge to human cognition as the emergence of social media does in contemporary times. The thesis works with Cultural Attraction Theory as its main framework and utilizes a case study methodology with discourse analysis. The particular disinformation that it focused on was a 19th century “blood libel”-case concerning immigrant populations and compared it to post-2015 disinforming narratives about refugee-seekers. The major findings consist of showing how similar ecological settings constitute to similar narratives due to the specificities of human cognition, while introduced Cultural Attraction Theory to the study of blood libels and disinformation in general.",Degree: MA,PDF file (2316k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Legal studies,MA,https://tinyurl.com/legalma2020,2020,78,https://sierra.ceu.edu/record=b1429016,http://www.etd.ceu.edu/2020/hamda_robera-haile.pdf ,"Hamda, Robera Haile",The protection of franchisees in Ethiopia : de lege lata and de lege ferenda / Robera Haile Hamda,"Budapest : Central European University, 2020",43 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2020/32,English,"Business format franchise, which emerged in the United States, has become a common way of doing business and subject to regulation in many parts of the world including more recently Ethiopia. Despite the recent legislative developments, the regulation of franchise in Ethiopia is far from being adequate, in particular, it fails to provide a clear regulatory framework and is unable to respond to the existing franchise abuses in Ethiopia. These defects result in lots of uncertainties that will inevitably negatively affect entrepreneurship and the emergence of a viable strong local franchise industry as well as be an obstacle in attracting foreign franchisors which could contribute to the country’s economy. The aim of this thesis is to critically assess the protection of franchisees in Ethiopia as one of the cornerstones of modern business format franchise by analyzing the recent Ethiopian legislative developments aimed at promoting the business model in light of global and local trends as well as the experiences of selected jurisdictions. The comparison will extend to three countries’ laws and experiences. The United States is chosen because of its rich experience in franchise regulation as it is the origin of the business model itself. Hungary was chosen because it represents the other spectrum of the regulation with more historical similarity with Ethiopia and economic proximity in comparison with other European countries and additionally because of similarity in the regulation and protection of franchisees. South Africa has been selected to see the regulation and protection of franchisees because it represents a unique approach to franchise regulation and to see the regulation of franchise from an African perspective.",Degree: MA,PDF file (471k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Legal studies,MA,https://tinyurl.com/legalma2020,2020,78,https://sierra.ceu.edu/record=b1428987,http://www.etd.ceu.edu/2020/aliyev_ruslan.pdf ,"Aliyev, Ruslan",Right to a name and its legal inclusiveness in protection of the indigenous peoples` identity and culture / Ruslan Aliyev,"Budapest : Central European University, 2020",62 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2020/7,English,"What is right to name for indigenous people? Does international law address all its facets properly? My answer is negative. It has no single definition, i.e. name to right has no its name. Thus, international law could respoond just a part of them, but there is so many facets missed.I find necessary time-sensitivity as one of important issues to address, in regard to hesitant and dilatory improvement of IIRL in this area.",Degree: MA,PDF file (1020k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Sociology,MSc,https://tinyurl.com/socma2018,2018,22,https://sierra.ceu.edu/record=b1399301,http://www.etd.ceu.edu/2018/younes_racha.pdf ,"Younes, Rasha","""Toeing the sectarian line "" : negotiations between the spatial, economic, and ideological consumption and production of counter-hegemonic resistance for ""Beirut Madinati"" / Rasha Younes","Budapest : Central European University, 2018",71 p. ; 30 cm.,CEU Sociology Department master theses ; 2018/22,English,"This thesis begins by situating political sectarianism, in its complex systems of operation, as the historical hegemony around which Lebanese civil society congregates to make meaning of its own discord and create possibilities for alternative ideology. I depart from a Gramscian analysis of sectarianism as a historically and politically situated power-sharing mechanism wielded by Lebanese political elites to determine and perpetuate the economic, social, and ideological positions of their members. Within a dialectical framework of resisting sectarianism through political participation, I investigate the possibilities of emergence and conditions of resistance for counter-hegemonic movements in Lebanon. Drawing on ethnographic fieldwork conducted in Beirut, I mobilize the case study of the self-proclaimed counter-sectarian civil society movement “Beirut Madinati.” In particular, by interrogating the inner-workings of “Beirut Madinati,” I argue that this oppositional movement’s ability to resist is hinged on its access to and consumption of a neoliberal sectarian space, economy, and formal discourse, which led to its counter-hegemonic paralysis. Vis-à-vis the case of counter-sectarianism in Beirut, I conclude by emphasizing that instead of focusing solely on the conceptual ideological terrain of resistance, it is imperative to re-imagine scholarly and activism connotations of resistance to include its pragmatic materialization in its situated spatial context.",Degree: MA,PDF file (1334k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
